dim,cloud_size,max_iter,d_fact,c1_c2,profit
10,25,25,0.1,1.0,8.52526524109414
10,25,50,0.1,1.0,7.684956984546419
10,25,100,0.1,1.0,6.335411784766072
10,50,25,0.1,1.0,6.0972803754433205
10,50,50,0.1,1.0,9.2569822659961
10,50,100,0.1,1.0,8.5781862688932
10,100,25,0.1,1.0,6.65280181045515
10,100,50,0.1,1.0,8.627510085871561
10,100,100,0.1,1.0,7.14753441509532

20,25,25,0.1,1.0,23.122892676061554
20,25,50,0.1,1.0,17.474977371695044
20,25,100,0.1,1.0,22.19023352535655
20,50,25,0.1,1.0,20.291415806119172
20,50,50,0.1,1.0,19.57491534737435
20,50,100,0.1,1.0,21.73510288626844
20,100,25,0.1,1.0,23.842685940094537
20,100,50,0.1,1.0,19.133735727086165
20,100,100,0.1,1.0,22.43399649994375
30,25,25,0.1,1.0,42.911267378070676
30,25,50,0.1,1.0,44.9077586396043
30,25,100,0.1,1.0,38.45795244602816
30,50,25,0.1,1.0,42.835258685276855
30,50,50,0.1,1.0,42.46456018792062
30,50,100,0.1,1.0,43.347800391724945
30,100,25,0.1,1.0,37.01050602218504
30,100,50,0.1,1.0,36.52254139072958
30,100,100,0.1,1.0,37.00800874418226


40,25,25,0.1,1.0,58.22727471756215
40,25,50,0.1,1.0,61.17462789259689
40,25,100,0.1,1.0,56.29166225568417
40,50,25,0.1,1.0,56.537305661096916
40,50,50,0.1,1.0,59.148425046184755
40,50,100,0.1,1.0,50.76923364449368
40,100,25,0.1,1.0,57.48130805756024
40,100,50,0.1,1.0,50.65377762842845
40,100,100,0.1,1.0,50.617908194405295

50,25,25,0.1,1.0,85.49326530066024
50,25,50,0.1,1.0,64.73417235722813
50,25,100,0.1,1.0,68.44250488402287
50,50,25,0.1,1.0,75.83501631853046
50,50,50,0.1,1.0,75.0000442476201
50,50,100,0.1,1.0,78.94590609109325
50,100,25,0.1,1.0,69.23960712588914
50,100,50,0.1,1.0,69.96242125185155
50,100,100,0.1,1.0,63.1172477763652


10,25,25,0.5,1.0,7.880563597666141
10,25,50,0.5,1.0,8.064922979295543
10,25,100,0.5,1.0,9.716805636997034
10,50,25,0.5,1.0,12.65123067078091
10,50,50,0.5,1.0,8.828668017583349
10,50,100,0.5,1.0,8.660446705342233
10,100,25,0.5,1.0,8.439687248691474
10,100,50,0.5,1.0,9.822358932419641
10,100,100,0.5,1.0,9.085165605819462

20,25,25,0.5,1.0,28.3733579544823
20,25,50,0.5,1.0,32.929396812547054
20,25,100,0.5,1.0,29.108136748667373
20,50,25,0.5,1.0,26.112820409035777
20,50,50,0.5,1.0,23.788161639884425
20,50,100,0.5,1.0,18.848953282719506
20,100,25,0.5,1.0,14.903562037026273
20,100,50,0.5,1.0,27.68031183261849
20,100,100,0.5,1.0,19.860808168592104

30,25,25,0.5,1.0,42.49688990948001
30,25,50,0.5,1.0,47.142199100255745
30,25,100,0.5,1.0,41.42764291021973
30,50,25,0.5,1.0,38.23255162559051
30,50,50,0.5,1.0,33.82647951768144
30,50,100,0.5,1.0,40.34727075773139
30,100,25,0.5,1.0,46.131548902785184
30,100,50,0.5,1.0,42.68857943956257
30,100,100,0.5,1.0,43.250618168649375


40,25,25,0.5,1.0,73.3759516834989
40,25,50,0.5,1.0,63.60372860534544
40,25,100,0.5,1.0,63.58633821342972
